Order_ID,Order_Date,Customer_Name,Region,Category,Product,Quantity,Unit_Price,Sales,Profit
1,2025-11-24,Customer_63,East,Electronics,Laptop,4,50,200,48.4
2,2025-12-13,Customer_152,North,Office Supplies,Marker,7,20,140,12.12
3,2025-04-22,Customer_144,North,Electronics,Headphones,4,800,3200,713.52
4,2025-10-07,Customer_151,West,Furniture,Desk,5,20,100,24.69
5,2025-03-23,Customer_72,East,Office Supplies,Stapler,3,50,150,43.59
6,2025-06-22,Customer_25,West,Electronics,Laptop,6,100,600,127.69
7,2025-01-23,Customer_97,North,Office Supplies,Stapler,2,500,1000,144.5
8,2025-11-18,Customer_181,South,Office Supplies,Paper,2,20,40,9.02
9,2025-05-29,Customer_98,North,Electronics,Mouse,5,200,1000,219.85
10,2025-07-06,Customer_54,East,Electronics,Keyboard,5,800,4000,1144.26
11,2025-11-28,Customer_137,South,Electronics,Headphones,4,50,200,36.34
12,2025-05-19,Customer_176,South,Office Supplies,Marker,6,20,120,15.65
13,2025-01-17,Customer_17,East,Furniture,Cabinet,4,500,2000,545.6
14,2025-06-11,Customer_165,West,Electronics,Monitor,8,50,400,55.31
15,2025-05-07,Customer_192,East,Office Supplies,Marker,10,200,2000,555.04
16,2025-07-24,Customer_131,South,Furniture,Desk,8,20,160,39.4
17,2025-02-26,Customer_153,West,Electronics,Mouse,2,200,400,65.58
18,2025-08-28,Customer_175,North,Office Supplies,Paper,2,800,1600,439.45
19,2025-05-17,Customer_76,North,Office Supplies,Paper,7,50,350,62.94
20,2025-05-15,Customer_161,North,Office Supplies,Notebook,5,800,4000,766.74
21,2025-04-12,Customer_139,South,Electronics,Keyboard,9,20,180,38.12
22,2025-09-08,Customer_79,East,Electronics,Laptop,4,20,80,10.64
23,2025-10-18,Customer_18,West,Electronics,Laptop,9,50,450,48.71
24,2025-09-01,Customer_136,East,Office Supplies,Notebook,10,200,2000,584.32
25,2025-10-04,Customer_103,East,Office Supplies,Notebook,6,200,1200,333.5
26,2025-08-20,Customer_17,South,Electronics,Mouse,6,20,120,25.13
27,2025-04-28,Customer_19,North,Office Supplies,Notebook,1,50,50,4.74
28,2025-01-17,Customer_72,South,Furniture,Chair,8,50,400,79.45
29,2025-10-20,Customer_122,South,Office Supplies,Stapler,7,50,350,35.26
30,2025-12-04,Customer_106,West,Furniture,Table,8,800,6400,588.27
31,2025-12-01,Customer_104,North,Office Supplies,Pen,6,20,120,16.16
32,2025-04-08,Customer_109,South,Office Supplies,Stapler,3,100,300,54.53
33,2025-02-08,Customer_13,North,Furniture,Bookshelf,9,20,180,52.77
34,2025-05-02,Customer_124,West,Electronics,Monitor,4,200,800,222.83
35,2025-03-26,Customer_68,West,Furniture,Chair,8,100,800,138.45
36,2025-10-12,Customer_49,South,Office Supplies,Stapler,5,50,250,73.28
37,2025-10-24,Customer_192,North,Office Supplies,Marker,6,20,120,10.92
38,2025-09-02,Customer_15,South,Office Supplies,Marker,9,20,180,48.11
39,2025-02-05,Customer_104,South,Office Supplies,Pen,2,500,1000,134.17
40,2025-11-01,Customer_108,North,Electronics,Headphones,10,500,5000,975.06
41,2025-05-14,Customer_68,South,Electronics,Keyboard,7,50,350,79.72
42,2025-06-03,Customer_3,North,Furniture,Table,8,500,4000,1198.64
43,2025-02-21,Customer_130,South,Electronics,Headphones,5,50,250,71.33
44,2025-02-05,Customer_41,East,Electronics,Keyboard,8,500,4000,939.12
45,2025-11-10,Customer_171,North,Office Supplies,Marker,9,100,900,256.49
46,2025-02-23,Customer_28,North,Electronics,Keyboard,9,50,450,62.96
47,2025-11-06,Customer_176,South,Electronics,Keyboard,5,500,2500,468.69
48,2025-01-27,Customer_12,East,Electronics,Monitor,1,100,100,24.96
49,2025-11-23,Customer_142,West,Furniture,Desk,7,500,3500,287.45
50,2025-02-08,Customer_95,North,Office Supplies,Notebook,10,500,5000,562.9
51,2025-03-07,Customer_11,East,Electronics,Keyboard,6,50,300,69.02
52,2025-12-08,Customer_159,West,Electronics,Keyboard,3,50,150,40.53
53,2025-04-01,Customer_189,South,Furniture,Chair,6,200,1200,307.79
54,2025-05-08,Customer_98,North,Furniture,Desk,1,200,200,25.79
55,2025-08-24,Customer_58,South,Furniture,Table,1,800,800,97.99
56,2025-06-18,Customer_90,East,Furniture,Chair,9,200,1800,413.09
57,2025-10-02,Customer_67,North,Furniture,Chair,3,500,1500,437.64
58,2025-05-16,Customer_89,West,Electronics,Laptop,6,200,1200,256.04
59,2025-09-19,Customer_66,South,Electronics,Monitor,1,800,800,140.75
60,2025-09-24,Customer_111,East,Office Supplies,Notebook,2,800,1600,452.11
61,2025-11-16,Customer_130,East,Furniture,Chair,5,800,4000,679.39
62,2025-07-26,Customer_50,South,Office Supplies,Paper,7,800,5600,1606.53
63,2025-12-13,Customer_104,East,Office Supplies,Notebook,9,20,180,26.43
64,2025-04-18,Customer_120,East,Furniture,Bookshelf,8,200,1600,365.82
65,2025-09-19,Customer_73,North,Furniture,Desk,9,800,7200,1578.58
66,2025-06-21,Customer_58,East,Electronics,Mouse,4,50,200,17.07
67,2025-05-06,Customer_117,North,Furniture,Bookshelf,7,800,5600,1157.23
68,2025-12-23,Customer_63,West,Furniture,Cabinet,3,800,2400,555.06
